mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.0027398586273195,0.8353041647806959,2.534664535522461,1.2292556131439212,100,15,6,log2,15,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 15}",0.6435101329110545,0.6292525492525494,0.6214669392850668,0.6105343245507422,0.6274345695079049,0.6264397031014636,0.010751845268007978,7,0.7760514571325329,0.7714492499602221,0.7765186362535399,0.7751868157096551,0.7686488561355184,0.7735710030382936,0.0030391252337141203
2.898176574707031,1.3798902352358102,2.677254152297974,1.323833432198175,100,5,2,log2,15,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15}",0.6373014884535622,0.6215988515988516,0.62400370609174,0.6097875304565251,0.6271304738454992,0.6239644100892356,0.008882375203429719,19,0.8340697281093197,0.8318088816801952,0.8473767144134655,0.8410361810815101,0.8327270530963236,0.8374037116761628,0.005948854043581417
116.71078267097474,3.490018819232035,6.168232393264771,0.1607769304871801,300,5,2,,15,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 15}",0.6220371787192064,0.6097649737649738,0.6112540307998684,0.6078526278867585,0.5984717314609898,0.6098761085263593,0.007536006092226049,40,0.8919181830722448,0.9030501365544291,0.9011031121748193,0.9293266960405006,0.9061487859837479,0.9063093827651484,0.012447144810475543
1.618050479888916,1.3773553563097032,1.2779250621795655,1.4786955886254565,100,5,4,sqrt,10,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10}",0.6394190108475823,0.6237332937332938,0.6215179514312962,0.6162043839205761,0.6236685681543034,0.6249086416174103,0.007755397114650303,17,0.7360268474704702,0.7467394549992197,0.7455844374274269,0.7457502242940612,0.7403534084254366,0.7428908745233229,0.00409380838558563
6.4547202587127686,4.387066260968933,3.8029001235961912,1.9899624202756536,100,5,6,sqrt,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 20}",0.6394296864342948,0.6194481734481734,0.6157413201745723,0.6138275738049861,0.6248507449849425,0.6226594997693938,0.009189313992443987,20,0.8983331786236141,0.9057300787049579,0.9042961735305837,0.907657203565752,0.9037582732424189,0.9039549815334652,0.003118242839564162
8.796880674362182,0.21343537229115828,5.266618394851685,0.1754556277126815,100,5,6,log2,15,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 15}",0.6431839344281741,0.625000495000495,0.61785021766171,0.6125607721736256,0.6286203053254901,0.625443144917899,0.010475055813627019,16,0.7750005312545094,0.7760310510630476,0.7822067024942162,0.775094264818965,0.77323696734008,0.7763139033941636,0.003081723114981308
63.80340280532837,2.6517033030278165,6.90502700805664,0.9393166925065912,100,10,2,,20,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}",0.6009760253999885,0.590927036927037,0.6029414236224595,0.5932099669824872,0.5920714866026879,0.596025187906932,0.004937478599970034,45,0.9528057970492066,0.9626177152661837,0.9599694467098349,0.9735428315311476,0.9627986954218299,0.9623468971956406,0.006668002287435804
17.59537801742554,0.5392599125979792,7.929601716995239,0.2776408986941087,200,15,2,log2,20,"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",0.638550334402869,0.6185648945648945,0.6182059186348359,0.6112419697885507,0.6233800924901618,0.6219886419762625,0.009140544796574295,21,0.8840761124348898,0.884992566158079,0.8948540790021919,0.8911171590933618,0.886848902876994,0.8883777639131033,0.004043467037955213
29.361168766021727,0.3379287534089504,6.202157354354858,0.3567879804998705,300,10,6,sqrt,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': None}",0.6367066210384182,0.6135527175527176,0.616887313971258,0.609691833251971,0.6197910518763868,0.6193259075381503,0.0093209163667292,28,0.9646479576320602,0.9643540248647541,0.9646571054398043,0.9656929782243714,0.9635348872603567,0.9645773906842694,0.0006917478405024017
46.11785135269165,3.749993845025293,4.528117704391479,1.1204971401536348,100,5,4,,15,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 15}",0.6202913248996199,0.6045072765072765,0.6101161435845602,0.6043707523243644,0.6024218115283101,0.6083414617688263,0.006503206800864707,41,0.8881744551050135,0.9039347758530704,0.8995089178290249,0.929148566170747,0.9041821259123779,0.9049897681740466,0.013403039129836564
22.695554351806642,0.5873531434485145,2.514781618118286,0.1289714258042127,300,15,4,sqrt,20,"{'n_estimators': 300, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20}",0.6366692564849246,0.6147215127215128,0.6163348801086044,0.6136735487588132,0.623475196530225,0.6209748789208159,0.008561643244228298,25,0.9176572693523162,0.9183350364020749,0.9209479540121832,0.9250083508420202,0.9189167419505387,0.9201730705118267,0.0026557999407859725
